id,name,versions,added_date,in_cs2,cs2_type,workshop_links,tags,thumbnail,notes
de_dust2,Dust II,CS|CSS|CS:GO|CS2,2001,true,official,,bomb_defusal|active_duty|5v5,,Originally released in CS 1.1
de_mirage,Mirage,CS|CSS|CS:GO|CS2,2004,true,official,,bomb_defusal|active_duty|5v5,,Originally cpl_strike in CS 1.6
de_inferno,Inferno,CS|CSS|CS:GO|CS2,2001,true,official,,bomb_defusal|active_duty|5v5,,Originally released in CS 1.1
de_nuke,Nuke,CS|CSS|CS:GO|CS2,1999,true,official,,bomb_defusal|active_duty|5v5,,Originally released in CS Beta 4.0
de_overpass,Overpass,CS:GO|CS2,2013,true,official,,bomb_defusal|active_duty|5v5,,
de_vertigo,Vertigo,CS|CSS|CS:GO|CS2,2001,true,official,,bomb_defusal|active_duty|5v5,,Originally released in CS 1.1
de_ancient,Ancient,CS:GO|CS2,2020,true,official,,bomb_defusal|active_duty|5v5,,Operation Broken Fang
de_anubis,Anubis,CS:GO|CS2,2020,true,official,,bomb_defusal|active_duty|5v5,,Community map purchased by Valve
de_train,Train,CS|CSS|CS:GO|CS2,1999,true,official,,bomb_defusal|5v5,,Originally released in CS Beta 5.0
de_cache,Cache,CSS|CS:GO|CS2,2010,true,community,,bomb_defusal|5v5,,Originally a custom map for CSS
de_cobblestone,Cobblestone,CS|CSS|CS:GO,2000,false,none,,bomb_defusal|5v5,,Originally released in CS Beta 6.5
de_aztec,Aztec,CS|CSS|CS:GO,2000,false,none,,bomb_defusal|5v5,,Originally released in CS Beta 6.5
de_dust,Dust,CS|CSS|CS:GO,1999,false,none,,bomb_defusal|5v5,,Originally released in CS Beta 4.0
cs_office,Office,CS|CSS|CS:GO|CS2,2000,true,official,,hostage_rescue|5v5,,Originally released in CS Beta 7.0
cs_italy,Italy,CS|CSS|CS:GO|CS2,2000,true,official,,hostage_rescue|5v5,,Originally released in CS Beta 6.5
cs_assault,Assault,CS|CSS|CS:GO,1999,false,none,,hostage_rescue|5v5,,Originally released in CS Beta 1.1
cs_militia,Militia,CS|CSS|CS:GO,1999,false,none,,hostage_rescue|5v5,,Originally released in CS Beta 3.0
cs_agency,Agency,CS:GO,2013,false,none,,hostage_rescue|5v5,,Community map from Operation Bravo
ar_baggage,Baggage,CS:GO|CS2,2012,true,official,,arms_race,,
ar_shoots,Shoots,CS:GO|CS2,2012,true,official,,arms_race,,
ar_monastery,Monastery,CS:GO,2012,false,none,,arms_race,,
ar_lunacy,Lunacy,CS:GO,2019,false,none,,arms_race,,Operation Shattered Web
ar_dizzy,Dizzy,CS:GO,2017,false,none,,arms_race,,Operation Hydra
de_lake,Lake,CS:GO,2012,false,none,,demolition|wingman,,
de_bank,Bank,CS:GO,2012,false,none,,demolition,,
de_safehouse,Safehouse,CS:GO,2012,false,none,,demolition,,
de_sugarcane,Sugarcane,CS:GO,2012,false,none,,demolition,,
